Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	con50sc	4000tt	1	P01	#131#180#183#427#436#463#	#216#220#363#490#500#574#	#123#341#343#384#446#494#	#	#	#	#73#75#199#237#239#529#
M01	con50sc	4000tt	2	P01	#260#385#	#81#424#550#552#	#245#341#435#438#	#	#23#25#216#601#	#	#3#28#124#193#248#292#
M01	con50sc	4000tt	3	P01	#255#337#358#	#63#99#570#	#295#344#	#	#551#	#	#46#49#125#216#225#237#569#577#601#
M01	con50sc	4000tt	4	P01	#211#310#334#456#	#55#502#550#578#	#184#247#391#580#	#	#381#	#	#155#
M01	con50sc	4000tt	5	P01	#216#219#386#473#490#	#6#59#481#500#552#	#267#273#452#	#451#	#	#	#155#284#356#459#
M01	con50sc	4000tt	6	P01	#65#192#212#401#434#482#	#132#241#302#447#526#620#	#83#197#250#315#399#415#	#	#	#	#137#234#359#372#437#555#
M01	con50sc	4000tt	7	P01	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P01	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P01	#	#	#	#	#75#98#148#228#	#	#54#480#523#
M01	con50sc	4000tt	10	P01	#	#	#	#	#16#28#44#118#119#568#575#604#	#	#502#
M01	con50sc	4000tt	11	P01	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P01	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P02	#179#189#348#536#564#	#14#136#176#195#300#541#	#6#114#332#483#	#415#	#244#	#	#37#47#187#292#368#480#485#
M01	con50sc	4000tt	2	P02	#91#158#493#	#12#98#179#192#195#	#36#85#215#	#	#567#	#419#	#16#295#314#318#381#440#449#485#562#565#
M01	con50sc	4000tt	3	P02	#231#	#117#130#	#	#	#	#	#6#12#25#112#218#271#366#499#510#563#
M01	con50sc	4000tt	4	P02	#411#	#121#135#244#	#530#562#573#	#	#	#	#180#206#327#427#447#470#538#563#577#
M01	con50sc	4000tt	5	P02	#12#298#	#482#	#	#	#	#	#128#201#252#351#397#407#424#427#429#460#480#
M01	con50sc	4000tt	6	P02	#12#151#314#398#443#594#	#124#143#194#341#356#512#	#112#327#460#504#624#	#	#	#	#181#275#427#456#473#589#602#
M01	con50sc	4000tt	7	P02	#	#	#203#	#	#	#	#
M01	con50sc	4000tt	8	P02	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P02	#253#	#	#	#	#	#	#178#181#275#343#
M01	con50sc	4000tt	10	P02	#	#	#	#	#	#	#202#363#378#424#
M01	con50sc	4000tt	11	P02	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P02	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P03	#39#278#298#430#468#609#	#175#356#426#502#523#582#	#227#250#269#366#517#554#	#	#	#	#41#74#159#235#435#514#
M01	con50sc	4000tt	2	P03	#60#82#143#190#257#306#	#132#135#426#429#560#581#	#137#194#256#262#263#370#542#	#	#235#	#	#11#105#208#
M01	con50sc	4000tt	3	P03	#11#161#212#282#453#518#	#30#230#	#205#311#362#364#	#	#	#	#68#158#192#234#260#416#419#539#615#
M01	con50sc	4000tt	4	P03	#114#142#235#	#161#246#337#448#	#286#290#	#	#	#	#173#192#205#253#317#356#362#416#463#
M01	con50sc	4000tt	5	P03	#16#183#211#295#412#446#	#109#233#309#476#612#	#162#269#289#323#362#387#	#188#	#	#241#367#	#133#195#365#
M01	con50sc	4000tt	6	P03	#116#237#374#483#521#564#	#31#331#444#454#603#613#	#95#139#176#223#340#416#	#	#	#	#8#268#286#371#383#422#
M01	con50sc	4000tt	7	P03	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P03	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P03	#287#293#	#	#	#	#	#	#159#166#209#315#519#
M01	con50sc	4000tt	10	P03	#	#	#	#	#	#155#327#389#417#418#452#	#520#
M01	con50sc	4000tt	11	P03	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P03	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P04	#95#173#192#327#381#510#	#226#229#272#390#497#553#	#122#129#346#354#403#477#	#	#	#	#13#207#305#318#487#555#
M01	con50sc	4000tt	2	P04	#90#198#428#609#	#101#380#455#557#610#	#172#353#373#410#425#	#411#511#537#	#	#	#30#183#213#285#362#516#
M01	con50sc	4000tt	3	P04	#298#355#486#549#560#	#28#285#306#422#456#	#257#278#299#508#	#	#	#	#61#224#356#360#413#424#427#485#608#
M01	con50sc	4000tt	4	P04	#249#275#487#613#	#128#216#428#460#625#	#57#239#365#421#512#	#	#	#	#74#254#295#323#346#400#498#
M01	con50sc	4000tt	5	P04	#29#148#151#170#221#245#246#340#	#313#337#442#580#	#95#157#222#	#	#	#63#	#72#129#218#224#225#319#415#
M01	con50sc	4000tt	6	P04	#179#193#323#345#394#438#	#46#312#334#409#459#487#	#57#293#303#342#491#612#	#	#	#	#14#175#238#247#549#553#
M01	con50sc	4000tt	7	P04	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P04	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P04	#	#379#	#	#	#	#	#64#292#484#489#561#580#
M01	con50sc	4000tt	10	P04	#	#	#455#585#	#	#	#	#144#259#362#507#536#
M01	con50sc	4000tt	11	P04	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P04	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P05	#279#308#389#557#559#573#	#145#167#225#276#563#	#10#58#134#324#326#593#	#	#	#	#49#68#151#196#314#417#551#
M01	con50sc	4000tt	2	P05	#359#	#200#325#	#441#	#	#	#	#52#57#75#76#97#123#222#223#267#365#468#500#520#570#605#608#
M01	con50sc	4000tt	3	P05	#410#415#	#	#	#	#	#	#1#29#32#50#127#143#149#167#201#221#238#270#511#545#623#
M01	con50sc	4000tt	4	P05	#120#264#304#	#522#	#299#343#	#	#351#	#	#8#24#28#84#106#115#130#146#159#207#210#576#579#582#
M01	con50sc	4000tt	5	P05	#182#215#	#	#336#	#	#	#31#	#52#74#100#108#132#149#150#167#168#181#184#196#276#530#556#601#605#
M01	con50sc	4000tt	6	P05	#61#145#221#266#285#332#	#133#203#496#567#	#297#301#418#510#	#4#	#22#	#	#11#55#106#216#232#249#502#574#
M01	con50sc	4000tt	7	P05	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P05	#32#	#	#	#	#	#227#	#24#78#130#579#
M01	con50sc	4000tt	9	P05	#	#	#	#	#	#	#81#104#200#205#610#624#
M01	con50sc	4000tt	10	P05	#	#	#	#	#	#	#27#105#163#230#598#606#607#
M01	con50sc	4000tt	11	P05	#	#	#	#	#	#	#14#560#591#
M01	con50sc	4000tt	12	P05	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P06	#4#78#297#448#462#619#	#117#247#291#339#570#610#	#168#344#525#548#589#617#	#	#	#	#70#166#204#295#410#453#
M01	con50sc	4000tt	2	P06	#14#392#551#606#617#	#149#186#240#297#616#	#541#618#	#	#	#	#37#69#187#219#340#360#375#
M01	con50sc	4000tt	3	P06	#471#	#120#222#321#620#	#43#492#544#	#	#118#	#	#146#162#176#198#259#308#401#474#507#
M01	con50sc	4000tt	4	P06	#30#279#432#	#96#375#405#534#	#112#242#545#	#	#274#	#	#141#166#181#273#390#617#
M01	con50sc	4000tt	5	P06	#223#325#421#449#	#244#352#379#487#	#115#378#583#613#	#194#	#	#143#	#25#41#49#88#97#191#200#441#
M01	con50sc	4000tt	6	P06	#348#405#451#523#559#	#246#273#354#453#458#587#	#34#96#99#313#350#537#	#	#	#	#44#153#171#279#291#518#582#
M01	con50sc	4000tt	7	P06	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P06	#	#	#	#	#	#	#120#292#302#349#406#
M01	con50sc	4000tt	9	P06	#600#	#	#	#	#	#	#141#273#425#
M01	con50sc	4000tt	10	P06	#	#	#	#	#	#	#69#104#143#174#182#254#
M01	con50sc	4000tt	11	P06	#	#	#	#	#	#	#197#249#373#425#476#
M01	con50sc	4000tt	12	P06	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P07	#57#61#182#284#349#372#	#162#194#317#395#489#565#	#42#79#202#359#613#621#	#	#	#	#101#221#253#312#450#594#
M01	con50sc	4000tt	2	P07	#80#153#155#182#284#400#	#41#164#298#396#482#490#	#32#43#71#412#539#569#591#	#230#	#	#	#181#233#251#366#466#578#598#
M01	con50sc	4000tt	3	P07	#19#137#175#228#248#326#347#	#92#324#346#359#390#412#469#536#589#	#16#60#107#114#542#597#	#	#	#	#129#195#450#562#594#613#
M01	con50sc	4000tt	4	P07	#81#107#261#357#361#490#	#40#72#189#444#585#591#619#	#44#140#468#557#	#452#	#449#590#	#445#	#39#422#556#566#
M01	con50sc	4000tt	5	P07	#55#107#158#255#	#425#457#483#516#560#	#17#21#517#609#	#	#	#	#7#437#440#461#472#494#507#513#527#546#
