Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M01	con50	label	2000tt	1	1	P04	#381#192#173#95#327	#553#497#390#226#272#229	#122#477#129#346#354#403	#	#	#	#318#510#305#487#13#207#555	#	#
M01	con50	label	2000tt	2	1	P04	#381#192#173#95#327	#553#497#390#226#272#229	#122#477#129#346#354#403	#	#	#	#318#510#305#487#13#207#555	#	#
M01	con50	label	2000tt	3	1	P04	#381	#272	#122#477#129#354	#	#	#	#318#510#305#487#13	#	#
M01	con50	label	2000tt	4	1	P04	#	#390	#129#477	#	#	#	#510#305	#	#
M01	con50	label	2000tt	5	1	P04	#	#390	#	#	#	#	#510#207	#	#
M01	con50	label	2000tt	6	1	P04	#381	#272	#477	#	#	#	#207	#	#
M01	con50	label	2000tt	7	1	P04	#	#390	#	#	#	#	#510#207	#	#
M01	con50	label	2000tt	8	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	9	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	10	1	P04	#	#	#	#	#	#	#510	#	#
M01	con50	label	2000tt	11	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	12	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	13	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	14	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	15	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	16	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	17	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	18	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	19	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	20	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	21	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	22	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	23	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	24	1	P04	#	#	#	#	#	#	#	#	#
M01	con50	label	2000tt	25	1	P04	#	#	#	#	#	#	#	#	#
