Index	Model	Type	TrainingTrials	Row	Area	AreaAbs	Pattern	CA
0	M01	con50sc	4000tt	1	1	1	P01	#73#131#
1	M01	con50sc	4000tt	1	2	2	P01	#3#23#25#28#124#193#216#248#260#292#385#601#
2	M01	con50sc	4000tt	1	3	3	P01	#49#
3	M01	con50sc	4000tt	1	4	4	P01	#334#
4	M01	con50sc	4000tt	1	5	5	P01	#216#
5	M01	con50sc	4000tt	1	6	6	P01	#65#234#482#
6	M01	con50sc	4000tt	2	1	7	P01	#
7	M01	con50sc	4000tt	2	2	8	P01	#
8	M01	con50sc	4000tt	2	3	9	P01	#54#75#98#148#228#480#523#
9	M01	con50sc	4000tt	2	4	10	P01	#16#28#44#118#119#568#575#604#502#
10	M01	con50sc	4000tt	2	5	11	P01	#
11	M01	con50sc	4000tt	2	6	12	P01	#
