	Model	Type	TrainingTrials	Row	Area	AreaAbs	Pattern	CA
0	M01	con50sc	4000tt	1	1	1	P01	#73#131#
1	M01	con50sc	4000tt	1	2	2	P01	#3#23#25#28#124#193#216#248#260#292#385#601#
2	M01	con50sc	4000tt	1	3	3	P01	#49#
3	M01	con50sc	4000tt	1	4	4	P01	#334#
4	M01	con50sc	4000tt	1	5	5	P01	#216#
5	M01	con50sc	4000tt	1	6	6	P01	#65#234#482#
6	M01	con50sc	4000tt	2	1	7	P01	#
7	M01	con50sc	4000tt	2	2	8	P01	#
8	M01	con50sc	4000tt	2	3	9	P01	#54#75#98#148#228#480#523#
9	M01	con50sc	4000tt	2	4	10	P01	#16#28#44#118#119#568#575#604#502#
10	M01	con50sc	4000tt	2	5	11	P01	#
11	M01	con50sc	4000tt	2	6	12	P01	#
360	M01	con50sc	4000tt	1	1	1	P02	#348#415#564#
361	M01	con50sc	4000tt	1	2	2	P02	#562#
362	M01	con50sc	4000tt	1	3	3	P02	#366#563#
363	M01	con50sc	4000tt	1	4	4	P02	#427#
364	M01	con50sc	4000tt	1	5	5	P02	#397#427#
365	M01	con50sc	4000tt	1	6	6	P02	#314#427#456#602#473#
366	M01	con50sc	4000tt	2	1	7	P02	#
367	M01	con50sc	4000tt	2	2	8	P02	#
368	M01	con50sc	4000tt	2	3	9	P02	#343#
369	M01	con50sc	4000tt	2	4	10	P02	#378#
370	M01	con50sc	4000tt	2	5	11	P02	#
371	M01	con50sc	4000tt	2	6	12	P02	#
720	M01	con50sc	4000tt	1	1	1	P03	#278#430#514#
721	M01	con50sc	4000tt	1	2	2	P03	#257#
722	M01	con50sc	4000tt	1	3	3	P03	#518#
723	M01	con50sc	4000tt	1	4	4	P03	#114#142#173#192#205#235#240#253#317#356#362#416#463#
724	M01	con50sc	4000tt	1	5	5	P03	#16#183#195#211#241#295#365#367#412#446#
725	M01	con50sc	4000tt	1	6	6	P03	#268#483#564#
726	M01	con50sc	4000tt	2	1	7	P03	#
727	M01	con50sc	4000tt	2	2	8	P03	#
728	M01	con50sc	4000tt	2	3	9	P03	#159#166#209#315#519#
729	M01	con50sc	4000tt	2	4	10	P03	#520#
730	M01	con50sc	4000tt	2	5	11	P03	#
731	M01	con50sc	4000tt	2	6	12	P03	#
1080	M01	con50sc	4000tt	1	1	1	P04	#192#305#381#
1081	M01	con50sc	4000tt	1	2	2	P04	#90#
1082	M01	con50sc	4000tt	1	3	3	P04	#61#224#298#355#356#360#413#424#427#485#486#549#560#608#
1083	M01	con50sc	4000tt	1	4	4	P04	#249#613#
1084	M01	con50sc	4000tt	1	5	5	P04	#151#
1085	M01	con50sc	4000tt	1	6	6	P04	#14#193#394#549#553#
1086	M01	con50sc	4000tt	2	1	7	P04	#
1087	M01	con50sc	4000tt	2	2	8	P04	#
1088	M01	con50sc	4000tt	2	3	9	P04	#64#292#484#489#561#580#
1089	M01	con50sc	4000tt	2	4	10	P04	#144#259#362#507#536#
1090	M01	con50sc	4000tt	2	5	11	P04	#
1091	M01	con50sc	4000tt	2	6	12	P04	#
1440	M01	con50sc	4000tt	1	1	1	P05	#196#279#151#
1441	M01	con50sc	4000tt	1	2	2	P05	#52#57#222#223#605#
1442	M01	con50sc	4000tt	1	3	3	P05	#29#201#32#127#
1443	M01	con50sc	4000tt	1	4	4	P05	#28#106#130#576#
1444	M01	con50sc	4000tt	1	5	5	P05	#52#181#530#601#
1445	M01	con50sc	4000tt	1	6	6	P05	#502#
1446	M01	con50sc	4000tt	2	1	7	P05	#
1447	M01	con50sc	4000tt	2	2	8	P05	#24#130#579#
1448	M01	con50sc	4000tt	2	3	9	P05	#81#104#200#205#610#624#
1449	M01	con50sc	4000tt	2	4	10	P05	#27#105#607#
1450	M01	con50sc	4000tt	2	5	11	P05	#14#560#
1451	M01	con50sc	4000tt	2	6	12	P05	#
1800	M01	con50sc	4000tt	1	1	1	P06	#166#
1801	M01	con50sc	4000tt	1	2	2	P06	#69#340#360#392#
1802	M01	con50sc	4000tt	1	3	3	P06	#259#
1803	M01	con50sc	4000tt	1	4	4	P06	#181#390#
1804	M01	con50sc	4000tt	1	5	5	P06	#88#325#
1805	M01	con50sc	4000tt	1	6	6	P06	#153#
1806	M01	con50sc	4000tt	2	1	7	P06	#
1807	M01	con50sc	4000tt	2	2	8	P06	#120#292#302#349#406#
1808	M01	con50sc	4000tt	2	3	9	P06	#273#
1809	M01	con50sc	4000tt	2	4	10	P06	#69#104#143#174#182#254#
1810	M01	con50sc	4000tt	2	5	11	P06	#197#249#373#425#476#
1811	M01	con50sc	4000tt	2	6	12	P06	#
2160	M01	con50sc	4000tt	1	1	1	P07	#57#61#182#284#349#
2161	M01	con50sc	4000tt	1	2	2	P07	#182#
2162	M01	con50sc	4000tt	1	3	3	P07	#228#
2163	M01	con50sc	4000tt	1	4	4	P07	#81#
2164	M01	con50sc	4000tt	1	5	5	P07	#158#
2165	M01	con50sc	4000tt	1	6	6	P07	#178#363#592#
2166	M01	con50sc	4000tt	2	1	7	P07	#
2167	M01	con50sc	4000tt	2	2	8	P07	#5#115#117#560#563#
2168	M01	con50sc	4000tt	2	3	9	P07	#82#282#
2169	M01	con50sc	4000tt	2	4	10	P07	#66#252#613#
2170	M01	con50sc	4000tt	2	5	11	P07	#119#
2171	M01	con50sc	4000tt	2	6	12	P07	#
2520	M01	con50sc	4000tt	1	1	1	P08	#148#
2521	M01	con50sc	4000tt	1	2	2	P08	#199#221#278#
2522	M01	con50sc	4000tt	1	3	3	P08	#2#77#133#154#200#302#329#340#357#433#442#506#528#600#111#614#
2523	M01	con50sc	4000tt	1	4	4	P08	#110#138#283#
2524	M01	con50sc	4000tt	1	5	5	P08	#240#
2525	M01	con50sc	4000tt	1	6	6	P08	#209#
2526	M01	con50sc	4000tt	2	1	7	P08	#
2527	M01	con50sc	4000tt	2	2	8	P08	#161#216#494#
2528	M01	con50sc	4000tt	2	3	9	P08	#34#90#135#284#
2529	M01	con50sc	4000tt	2	4	10	P08	#92#137#180#
2530	M01	con50sc	4000tt	2	5	11	P08	#18#62#136#
2531	M01	con50sc	4000tt	2	6	12	P08	#
2880	M01	con50sc	4000tt	1	1	1	P09	#91#471#493#
2881	M01	con50sc	4000tt	1	2	2	P09	#415#
2882	M01	con50sc	4000tt	1	3	3	P09	#368#
2883	M01	con50sc	4000tt	1	4	4	P09	#475#511#
2884	M01	con50sc	4000tt	1	5	5	P09	#19#27#47#293#342#381#388#416#423#465#525#542#428#
2885	M01	con50sc	4000tt	1	6	6	P09	#402#439#462#625#
2886	M01	con50sc	4000tt	2	1	7	P09	#
2887	M01	con50sc	4000tt	2	2	8	P09	#
2888	M01	con50sc	4000tt	2	3	9	P09	#367#405#543#
2889	M01	con50sc	4000tt	2	4	10	P09	#347#503#
2890	M01	con50sc	4000tt	2	5	11	P09	#
2891	M01	con50sc	4000tt	2	6	12	P09	#
3240	M01	con50sc	4000tt	1	1	1	P10	#109#193#277#408#569#
3241	M01	con50sc	4000tt	1	2	2	P10	#7#70#99#191#258#259#335#336#406#504#546#568#
3242	M01	con50sc	4000tt	1	3	3	P10	#598#
3243	M01	con50sc	4000tt	1	4	4	P10	#123#336#
3244	M01	con50sc	4000tt	1	5	5	P10	#572#
3245	M01	con50sc	4000tt	1	6	6	P10	#258#
3246	M01	con50sc	4000tt	2	1	7	P10	#
3247	M01	con50sc	4000tt	2	2	8	P10	#
3248	M01	con50sc	4000tt	2	3	9	P10	#510#599#
3249	M01	con50sc	4000tt	2	4	10	P10	#74#624#
3250	M01	con50sc	4000tt	2	5	11	P10	#
3251	M01	con50sc	4000tt	2	6	12	P10	#
3600	M01	con50sc	4000tt	1	1	1	P11	#73#216#363#500#574#
3601	M01	con50sc	4000tt	1	2	2	P11	#552#
3602	M01	con50sc	4000tt	1	3	3	P11	#601#
3603	M01	con50sc	4000tt	1	4	4	P11	#502#550#
3604	M01	con50sc	4000tt	1	5	5	P11	#500#
3605	M01	con50sc	4000tt	1	6	6	P11	#234#526#
3606	M01	con50sc	4000tt	2	1	7	P11	#
3607	M01	con50sc	4000tt	2	2	8	P11	#
3608	M01	con50sc	4000tt	2	3	9	P11	#54#523#
3609	M01	con50sc	4000tt	2	4	10	P11	#502#
3610	M01	con50sc	4000tt	2	5	11	P11	#
3611	M01	con50sc	4000tt	2	6	12	P11	#
3960	M01	con50sc	4000tt	1	1	1	P12	#14#300#
3961	M01	con50sc	4000tt	1	2	2	P12	#562#
3962	M01	con50sc	4000tt	1	3	3	P12	#366#563#
3963	M01	con50sc	4000tt	1	4	4	P12	#427#
3964	M01	con50sc	4000tt	1	5	5	P12	#397#427#460#
3965	M01	con50sc	4000tt	1	6	6	P12	#356#427#456#512#602#473#
3966	M01	con50sc	4000tt	2	1	7	P12	#
3967	M01	con50sc	4000tt	2	2	8	P12	#
3968	M01	con50sc	4000tt	2	3	9	P12	#343#
3969	M01	con50sc	4000tt	2	4	10	P12	#378#
3970	M01	con50sc	4000tt	2	5	11	P12	#
3971	M01	con50sc	4000tt	2	6	12	P12	#
4320	M01	con50sc	4000tt	1	1	1	P13	#356#
4321	M01	con50sc	4000tt	1	2	2	P13	#11#105#135#208#235#426#429#560#581#
4322	M01	con50sc	4000tt	1	3	3	P13	#30#68#158#192#230#234#260#416#419#539#615#
4323	M01	con50sc	4000tt	1	4	4	P13	#246#
4324	M01	con50sc	4000tt	1	5	5	P13	#109#
4325	M01	con50sc	4000tt	1	6	6	P13	#268#371#444#613#
4326	M01	con50sc	4000tt	2	1	7	P13	#
4327	M01	con50sc	4000tt	2	2	8	P13	#
4328	M01	con50sc	4000tt	2	3	9	P13	#159#166#209#315#519#
4329	M01	con50sc	4000tt	2	4	10	P13	#155#327#389#417#418#452#520#
4330	M01	con50sc	4000tt	2	5	11	P13	#
4331	M01	con50sc	4000tt	2	6	12	P13	#
4680	M01	con50sc	4000tt	1	1	1	P14	#305#
4681	M01	con50sc	4000tt	1	2	2	P14	#30#101#183#213#285#362#380#411#455#511#516#537#557#610#
4682	M01	con50sc	4000tt	1	3	3	P14	#28#61#224#285#306#356#360#413#422#424#427#456#485#608#
4683	M01	con50sc	4000tt	1	4	4	P14	#428#460#
4684	M01	con50sc	4000tt	1	5	5	P14	#313#
4685	M01	con50sc	4000tt	1	6	6	P14	#14#312#334#459#549#553#
4686	M01	con50sc	4000tt	2	1	7	P14	#
4687	M01	con50sc	4000tt	2	2	8	P14	#
4688	M01	con50sc	4000tt	2	3	9	P14	#64#292#484#561#580#489#
4689	M01	con50sc	4000tt	2	4	10	P14	#144#259#362#507#536#
4690	M01	con50sc	4000tt	2	5	11	P14	#
4691	M01	con50sc	4000tt	2	6	12	P14	#
5040	M01	con50sc	4000tt	1	1	1	P15	#151#196#
5041	M01	con50sc	4000tt	1	2	2	P15	#52#57#223#605#
5042	M01	con50sc	4000tt	1	3	3	P15	#29#127#201#32#
5043	M01	con50sc	4000tt	1	4	4	P15	#28#106#130#576#579#
5044	M01	con50sc	4000tt	1	5	5	P15	#52#181#530#601#
5045	M01	con50sc	4000tt	1	6	6	P15	#106#502#
5046	M01	con50sc	4000tt	2	1	7	P15	#
5047	M01	con50sc	4000tt	2	2	8	P15	#24#130#579#
5048	M01	con50sc	4000tt	2	3	9	P15	#81#104#200#205#610#624#
5049	M01	con50sc	4000tt	2	4	10	P15	#27#105#607#
5050	M01	con50sc	4000tt	2	5	11	P15	#14#560#
5051	M01	con50sc	4000tt	2	6	12	P15	#
5400	M01	con50sc	4000tt	1	1	1	P16	#166#
5401	M01	con50sc	4000tt	1	2	2	P16	#69#149#240#297#340#360#
5402	M01	con50sc	4000tt	1	3	3	P16	#259#
5403	M01	con50sc	4000tt	1	4	4	P16	#181#390#405#534#
5404	M01	con50sc	4000tt	1	5	5	P16	#88#352#
5405	M01	con50sc	4000tt	1	6	6	P16	#44#354#458#273#153#
5406	M01	con50sc	4000tt	2	1	7	P16	#
5407	M01	con50sc	4000tt	2	2	8	P16	#120#292#349#406#302#
5408	M01	con50sc	4000tt	2	3	9	P16	#273#
5409	M01	con50sc	4000tt	2	4	10	P16	#69#104#143#174#182#254#
5410	M01	con50sc	4000tt	2	5	11	P16	#197#249#373#425#476#
5411	M01	con50sc	4000tt	2	6	12	P16	#
5760	M01	con50sc	4000tt	1	1	1	P17	#489#
5761	M01	con50sc	4000tt	1	2	2	P17	#366#
5762	M01	con50sc	4000tt	1	3	3	P17	#589#
5763	M01	con50sc	4000tt	1	4	4	P17	#444#585#591#
5764	M01	con50sc	4000tt	1	5	5	P17	#516#
5765	M01	con50sc	4000tt	1	6	6	P17	#515#
5766	M01	con50sc	4000tt	2	1	7	P17	#
5767	M01	con50sc	4000tt	2	2	8	P17	#5#115#117#560#563#
5768	M01	con50sc	4000tt	2	3	9	P17	#533#
5769	M01	con50sc	4000tt	2	4	10	P17	#590#
5770	M01	con50sc	4000tt	2	5	11	P17	#19#94#119#210#383#
5771	M01	con50sc	4000tt	2	6	12	P17	#
6120	M01	con50sc	4000tt	1	1	1	P18	#9#23#
6121	M01	con50sc	4000tt	1	2	2	P18	#434#
6122	M01	con50sc	4000tt	1	3	3	P18	#352#433#585#
6123	M01	con50sc	4000tt	1	4	4	P18	#110#138#283#610#
6124	M01	con50sc	4000tt	1	5	5	P18	#240#555#
6125	M01	con50sc	4000tt	1	6	6	P18	#187#209#
6126	M01	con50sc	4000tt	2	1	7	P18	#
6127	M01	con50sc	4000tt	2	2	8	P18	#161#216#494#
6128	M01	con50sc	4000tt	2	3	9	P18	#34#90#135#284#
6129	M01	con50sc	4000tt	2	4	10	P18	#92#137#180#
6130	M01	con50sc	4000tt	2	5	11	P18	#18#136#62#
6131	M01	con50sc	4000tt	2	6	12	P18	#
6480	M01	con50sc	4000tt	1	1	1	P19	#144#608#
6481	M01	con50sc	4000tt	1	2	2	P19	#31#79#100#122#127#226#229#231#253#302#456#512#
6482	M01	con50sc	4000tt	1	3	3	P19	#70#81#86#104#126#147#206#351#583#
6483	M01	con50sc	4000tt	1	4	4	P19	#475#539#
6484	M01	con50sc	4000tt	1	5	5	P19	#58#381#
6485	M01	con50sc	4000tt	1	6	6	P19	#462#625#
6486	M01	con50sc	4000tt	2	1	7	P19	#
6487	M01	con50sc	4000tt	2	2	8	P19	#
6488	M01	con50sc	4000tt	2	3	9	P19	#405#
6489	M01	con50sc	4000tt	2	4	10	P19	#347#503#
6490	M01	con50sc	4000tt	2	5	11	P19	#
6491	M01	con50sc	4000tt	2	6	12	P19	#
6840	M01	con50sc	4000tt	1	1	1	P20	#277#287#408#
6841	M01	con50sc	4000tt	1	2	2	P20	#7#99#191#259#294#335#336#369#406#416#
6842	M01	con50sc	4000tt	1	3	3	P20	#8#80#199#240#281#367#382#408#454#484#502#505#525#584#
6843	M01	con50sc	4000tt	1	4	4	P20	#123#190#198#220#224#229#243#306#315#321#328#394#420#455#496#553#435#
6844	M01	con50sc	4000tt	1	5	5	P20	#454#
6845	M01	con50sc	4000tt	1	6	6	P20	#335#377#
6846	M01	con50sc	4000tt	2	1	7	P20	#
6847	M01	con50sc	4000tt	2	2	8	P20	#
6848	M01	con50sc	4000tt	2	3	9	P20	#510#599#
6849	M01	con50sc	4000tt	2	4	10	P20	#74#453#
6850	M01	con50sc	4000tt	2	5	11	P20	#
6851	M01	con50sc	4000tt	2	6	12	P20	#
7200	M01	con50sc	4000tt	1	1	1	P21	#73#341#343#494#
7201	M01	con50sc	4000tt	1	2	2	P21	#245#341#
7202	M01	con50sc	4000tt	1	3	3	P21	#49#
7203	M01	con50sc	4000tt	1	4	4	P21	#155#247#381#391#580#
7204	M01	con50sc	4000tt	1	5	5	P21	#155#267#273#284#356#451#452#459#
7205	M01	con50sc	4000tt	1	6	6	P21	#83#137#197#234#250#315#359#372#399#415#437#555#
7206	M01	con50sc	4000tt	2	1	7	P21	#
7207	M01	con50sc	4000tt	2	2	8	P21	#
7208	M01	con50sc	4000tt	2	3	9	P21	#54#75#98#148#228#480#523#
7209	M01	con50sc	4000tt	2	4	10	P21	#16#28#44#118#119#568#575#604#502#
7210	M01	con50sc	4000tt	2	5	11	P21	#
7211	M01	con50sc	4000tt	2	6	12	P21	#
7560	M01	con50sc	4000tt	1	1	1	P22	#292#
7561	M01	con50sc	4000tt	1	2	2	P22	#562#
7562	M01	con50sc	4000tt	1	3	3	P22	#366#563#
7563	M01	con50sc	4000tt	1	4	4	P22	#427#530#
7564	M01	con50sc	4000tt	1	5	5	P22	#397#427#
7565	M01	con50sc	4000tt	1	6	6	P22	#473#504#
7566	M01	con50sc	4000tt	2	1	7	P22	#
7567	M01	con50sc	4000tt	2	2	8	P22	#
7568	M01	con50sc	4000tt	2	3	9	P22	#343#
7569	M01	con50sc	4000tt	2	4	10	P22	#378#
7570	M01	con50sc	4000tt	2	5	11	P22	#
7571	M01	con50sc	4000tt	2	6	12	P22	#
7920	M01	con50sc	4000tt	1	1	1	P23	#227#514#554#
7921	M01	con50sc	4000tt	1	2	2	P23	#11#105#137#194#208#262#263#370#450#542#
7922	M01	con50sc	4000tt	1	3	3	P23	#68#158#192#205#234#260#311#362#364#416#419#539#615#
7923	M01	con50sc	4000tt	1	4	4	P23	#286#
7924	M01	con50sc	4000tt	1	5	5	P23	#365#
7925	M01	con50sc	4000tt	1	6	6	P23	#223#268#371#422#
7926	M01	con50sc	4000tt	2	1	7	P23	#
7927	M01	con50sc	4000tt	2	2	8	P23	#
7928	M01	con50sc	4000tt	2	3	9	P23	#159#166#209#315#519#
7929	M01	con50sc	4000tt	2	4	10	P23	#155#327#389#417#418#452#520#270#
7930	M01	con50sc	4000tt	2	5	11	P23	#
7931	M01	con50sc	4000tt	2	6	12	P23	#
8280	M01	con50sc	4000tt	1	1	1	P24	#354#
8281	M01	con50sc	4000tt	1	2	2	P24	#30#172#183#213#285#353#362#373#410#411#425#516#537#
8282	M01	con50sc	4000tt	1	3	3	P24	#61#224#257#278#299#356#360#413#424#427#485#508#608#
8283	M01	con50sc	4000tt	1	4	4	P24	#57#74#239#254#295#323#346#365#400#421#498#512#
8284	M01	con50sc	4000tt	1	5	5	P24	#63#72#129#153#157#218#224#225#245#319#382#415#
8285	M01	con50sc	4000tt	1	6	6	P24	#14#549#553#
8286	M01	con50sc	4000tt	2	1	7	P24	#
8287	M01	con50sc	4000tt	2	2	8	P24	#
8288	M01	con50sc	4000tt	2	3	9	P24	#64#292#484#489#561#580#
8289	M01	con50sc	4000tt	2	4	10	P24	#144#259#362#507#536#
8290	M01	con50sc	4000tt	2	5	11	P24	#
8291	M01	con50sc	4000tt	2	6	12	P24	#
8640	M01	con50sc	4000tt	1	1	1	P25	#196#151#
8641	M01	con50sc	4000tt	1	2	2	P25	#57#223#605#
8642	M01	con50sc	4000tt	1	3	3	P25	#29#201#32#127#
8643	M01	con50sc	4000tt	1	4	4	P25	#28#106#130#576#579#
8644	M01	con50sc	4000tt	1	5	5	P25	#52#181#530#601#
8645	M01	con50sc	4000tt	1	6	6	P25	#502#
8646	M01	con50sc	4000tt	2	1	7	P25	#
8647	M01	con50sc	4000tt	2	2	8	P25	#24#130#579#
8648	M01	con50sc	4000tt	2	3	9	P25	#81#104#200#205#610#624#
8649	M01	con50sc	4000tt	2	4	10	P25	#27#105#607#
